team name,team payroll,wpct,year
Baltimore Orioles,"74,279,540",0.391,2001
Colorado Rockies,"71,541,334",0.451,2001
Chicago White Sox,"65,628,667",0.512,2001
Chicago Cubs,"64,515,833",0.543,2001
San Francisco Giants,"63,280,167",0.556,2001
Houston Astros,"60,387,667",0.574,2001
Pittsburgh Pirates,"57,760,833",0.383,2001
Tampa Bay Rays,"56,980,000",0.383,2001
Detroit Tigers,"49,356,167",0.407,2001
Cincinnati Reds,"48,784,000",0.407,2001
Los Angeles Angels,"47,735,168",0.463,2001
Milwaukee Brewers,"45,099,333",0.42,2001
Philadelphia Phillies,"41,663,833",0.531,2001
San Diego Padres,"38,882,833",0.488,2001
Miami Marlins,"35,562,500",0.469,2001
Kansas City Royals,"35,422,500",0.401,2001
Washington Nationals,"34,849,500",0.42,2001
Oakland Athletics,"33,810,750",0.63,2001
Minnesota Twins,"24,130,000",0.525,2001
New York Yankees,"92,938,260",0.54,2000
Los Angeles Dodgers,"90,725,953",0.531,2000
Baltimore Orioles,"83,141,198",0.457,2000
Atlanta Braves,"82,732,500",0.586,2000
Boston Red Sox,"81,210,333",0.525,2000
New York Mets,"79,759,762",0.58,2000
Arizona Diamondbacks,"77,880,333",0.525,2000
Cleveland Guardians,"76,508,334",0.556,2000
Texas Rangers,"70,785,000",0.438,2000
Tampa Bay Rays,"64,407,910",0.429,2000
Colorado Rockies,"64,130,857",0.506,2000
St. Louis Cardinals,"63,993,023",0.586,2000
Chicago Cubs,"62,129,333",0.401,2000
Detroit Tigers,"61,740,167",0.488,2000
Seattle Mariners,"59,215,000",0.562,2000
Los Angeles Angels,"55,766,667",0.506,2000
San Diego Padres,"54,971,000",0.469,2000
San Francisco Giants,"53,541,000",0.599,2000
Houston Astros,"52,356,667",0.444,2000
Philadelphia Phillies,"46,947,667",0.401,2000
Toronto Blue Jays,"46,363,332",0.512,2000
Cincinnati Reds,"44,217,500",0.525,2000
Milwaukee Brewers,"35,782,833",0.451,2000
Washington Nationals,"33,527,666",0.414,2000
Oakland Athletics,"32,121,833",0.565,2000
Chicago White Sox,"31,159,000",0.586,2000
Pittsburgh Pirates,"29,561,667",0.426,2000
Kansas City Royals,"23,132,500",0.475,2000
Miami Marlins,"19,870,000",0.491,2000
Minnesota Twins,"15,654,500",0.426,2000
