table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,
Rank,City,2020,2021,2022
112,"Rochester city, New York","211,167","211,207","209,352"
113,"Fayetteville city, North Carolina","208,104","209,669","208,873"
114,"Yonkers city, New York","210,989","209,942","208,121"
115,"McKinney city, Texas","197,474","203,427","207,507"
116,"Worcester city, Massachusetts","205,063","205,660","205,319"
117,"Salt Lake City city, Utah","200,658","201,165","204,657"
118,"Little Rock city, Arkansas","202,622","202,230","202,864"
119,"Columbus city, Georgia","206,998","205,024","202,616"
120,"Augusta-Richmond County consolidated government (balance), Georgia","202,000","200,838","202,096"
121,"Sioux Falls city, South Dakota","193,409","196,802","202,078"
122,"Grand Prairie city, Texas","196,278","197,427","201,843"
123,"Tallahassee city, Florida","197,926","200,289","201,731"
124,"Amarillo city, Texas","200,507","200,852","201,291"
125,"Oxnard city, California","202,244","202,054","200,415"
126,"Peoria city, Arizona","191,961","194,973","197,866"
127,"Overland Park city, Kansas","197,722","197,597","197,726"
128,"Montgomery city, Alabama","200,024","198,469","196,986"
129,"Birmingham city, Alabama","200,329","197,823","196,910"
130,"Grand Rapids city, Michigan","198,698","197,751","196,908"
131,"Knoxville city, Tennessee","191,478","193,598","195,889"
132,"Vancouver city, Washington","191,259","192,759","194,512"
133,"Huntington Beach city, California","198,410","196,463","194,310"
134,"Providence city, Rhode Island","190,728","190,081","189,563"
135,"Brownsville city, Texas","186,990","187,957","189,382"
136,"Glendale city, California","195,995","192,272","189,221"
137,"Akron city, Ohio","190,130","188,550","188,509"
138,"Tempe city, Arizona","181,680","181,040","185,950"
139,"Newport News city, Virginia","186,033","184,764","184,306"
140,"Chattanooga city, Tennessee","181,560","181,163","184,086"
141,"Mobile city, Alabama","186,611","185,017","183,289"
142,"Fort Lauderdale city, Florida","182,880","182,011","183,146"
143,"Cary town, North Carolina","175,510","177,463","180,388"
144,"Shreveport city, Louisiana","186,827","183,328","180,153"
145,"Ontario city, California","175,852","177,845","179,061"
146,"Eugene city, Oregon","177,389","177,953","177,923"
147,"Aurora city, Illinois","180,197","179,336","177,866"
148,"Elk Grove city, California","176,732","178,283","177,558"
149,"Salem city, Oregon","175,931","178,105","177,487"
150,"Santa Rosa city, California","177,835","177,149","177,181"
151,"Clarksville city, Tennessee","167,499","170,912","176,974"
152,"Rancho Cucamonga city, California","174,571","175,169","176,336"
153,"Oceanside city, California","173,914","172,919","172,199"
154,"Springfield city, Missouri","169,164","169,255","170,067"
155,"Pembroke Pines city, Florida","171,062","169,635","169,876"
156,"Garden Grove city, California","171,759","170,511","169,254"
157,"Fort Collins city, Colorado","169,979","169,266","169,249"
158,"Lancaster city, California","173,040","170,074","169,185"
159,"Palmdale city, California","168,863","165,452","163,463"
160,"Murfreesboro city, Tennessee","153,737","156,675","162,398"
161,"Salinas city, California","163,296","163,076","161,020"
162,"Corona city, California","157,549","159,782","159,567"
163,"Killeen city, Texas","153,726","156,959","159,172"
164,"Hayward city, California","162,602","158,445","156,754"
165,"Paterson city, New Jersey","159,153","157,905","156,661"
166,"Macon-Bibb County, Georgia","157,025","155,985","156,197"
167,"Lakewood city, Colorado","156,236","157,109","156,120"
168,"Alexandria city, Virginia","159,125","155,203","155,525"
169,"Roseville city, California","148,486","152,095","154,817"
170,"Surprise city, Arizona","144,395","149,325","154,198"
171,"Springfield city, Massachusetts","155,407","154,948","154,064"
172,"Charleston city, South Carolina","150,742","151,783","153,672"
173,"Kansas City city, Kansas","156,287","154,789","153,345"
174,"Sunnyvale city, California","155,264","152,030","153,091"
175,"Bellevue city, Washington","151,766","149,791","152,767"
176,"Hollywood city, Florida","152,792","152,427","152,650"
177,"Denton city, Texas","141,097","147,208","150,353"
178,"Escondido city, California","151,139","150,679","150,270"
179,"Joliet city, Illinois","150,221","150,550","150,033"
180,"Naperville city, Illinois","149,416","149,453","149,936"
181,"Bridgeport city, Connecticut","148,165","148,571","148,377"
182,"Savannah city, Georgia","147,442","146,438","148,004"
183,"Mesquite city, Texas","149,666","147,821","147,899"
184,"Pasadena city, Texas","151,359","148,674","147,662"
185,"Rockford city, Illinois","148,407","147,595","146,713"
186,"Pomona city, California","151,033","147,125","146,017"
187,"Jackson city, Mississippi","152,992","149,727","145,995"
188,"Olathe city, Kansas","141,575","143,427","145,616"
189,"Gainesville city, Florida","142,203","143,955","145,214"
190,"McAllen city, Texas","142,395","143,882","144,579"
191,"Syracuse city, New York","146,792","145,823","144,451"
192,"Waco city, Texas","140,534","142,336","143,984"
193,"Visalia city, California","141,859","142,795","143,966"
194,"Thornton city, Colorado","142,176","142,934","143,282"
195,"Torrance city, California","146,589","143,509","141,126"
196,"Fullerton city, California","143,419","140,559","140,541"
197,"Columbia city, South Carolina","136,186","136,394","139,698"
198,"New Haven city, Connecticut","133,959","138,731","138,915"
199,"Hampton city, Virginia","137,276","137,847","138,037"
200,"Miramar city, Florida","134,502","135,380","137,228"
201,"Victorville city, California","134,632","135,921","137,221"
202,"Warren city, Michigan","139,101","138,272","137,107"
203,"West Valley City city, Utah","139,967","139,065","136,650"
204,"Cedar Rapids city, Iowa","137,742","136,872","136,429"
205,"Stamford city, Connecticut","135,548","136,688","136,188"
206,"Orange city, California","139,428","137,295","136,178"
207,"Dayton city, Ohio","137,484","136,837","135,944"
208,"Midland city, Texas","132,876","131,505","134,444"
209,"Kent city, Washington","136,580","135,182","134,392"
210,"Elizabeth city, New Jersey","136,651","135,543","134,283"
211,"Pasadena city, California","138,304","135,932","134,211"
212,"Carrollton city, Texas","133,557","133,569","133,820"
213,"Coral Springs city, Florida","134,159","133,141","133,369"
214,"Sterling Heights city, Michigan","134,112","133,344","132,567"
215,"Fargo city, North Dakota","125,979","129,510","131,444"
216,"Lewisville city, Texas","126,428","127,214","131,215"
217,"Meridian city, Idaho","119,405","125,774","129,736"
218,"Norman city, Oklahoma","128,161","129,070","129,627"
219,"Palm Bay city, Florida","120,154","122,952","129,234"
220,"Athens-Clarke County unified government (balance), Georgia","127,243","127,873","128,561"
221,"Columbia city, Missouri","126,486","127,550","128,555"
222,"Abilene city, Texas","125,404","126,160","127,385"
223,"Pearland city, Texas","125,989","125,926","126,949"
224,"Santa Clara city, California","127,894","127,958","126,930"
225,"Round Rock city, Texas","120,531","124,041","126,697"
226,"Topeka city, Kansas","126,419","126,124","125,449"
227,"Allentown city, Pennsylvania","125,722","125,772","125,094"
228,"Clovis city, California","120,660","123,007","124,556"
229,"Simi Valley city, California","126,335","126,053","124,398"
230,"College Station city, Texas","120,763","122,650","124,319"
231,"Thousand Oaks city, California","126,770","126,001","124,265"
232,"Vallejo city, California","125,886","124,773","123,564"
233,"Concord city, California","125,256","124,337","122,625"
234,"Rochester city, Minnesota","121,565","121,728","121,878"
235,"Arvada city, Colorado","124,394","123,591","121,581"
236,"Lafayette city, Louisiana","121,445","121,486","121,389"
237,"Independence city, Missouri","122,974","122,219","121,202"
238,"West Palm Beach city, Florida","117,492","117,891","120,932"
239,"Hartford city, Connecticut","120,638","120,867","120,686"
240,"Wilmington city, North Carolina","115,756","117,792","120,324"
241,"Lakeland city, Florida","113,894","117,258","120,071"
242,"Billings city, Montana","117,205","117,703","119,960"
243,"Ann Arbor city, Michigan","123,625","119,070","119,875"
244,"Fairfield city, California","119,874","119,835","119,338"
245,"Berkeley city, California","124,206","114,810","118,950"
246,"Richardson city, Texas","119,323","118,149","118,802"
247,"North Charleston city, South Carolina","115,563","117,586","118,608"
248,"Cambridge city, Massachusetts","118,349","118,082","118,488"
249,"Broken Arrow city, Oklahoma","113,922","116,356","117,911"
250,"Clearwater city, Florida","117,284","117,093","117,027"
251,"West Jordan city, Utah","117,024","116,544","116,664"
252,"Evansville city, Indiana","117,364","116,670","115,749"
253,"League City city, Texas","114,679","115,611","115,418"
254,"Antioch city, California","115,251","114,964","115,264"
255,"Manchester city, New Hampshire","115,499","115,173","115,141"
256,"High Point city, North Carolina","114,225","114,676","115,067"
257,"Waterbury city, Connecticut","114,293","114,998","115,016"
258,"Westminster city, Colorado","116,302","114,798","114,533"
259,"Richmond city, California","116,367","115,731","114,301"
260,"Carlsbad city, California","114,896","115,224","114,160"
261,"Las Cruces city, New Mexico","111,699","112,853","113,888"
262,"Murrieta city, California","111,318","113,006","113,783"
263,"Lowell city, Massachusetts","115,366","114,288","113,608"
264,"Provo city, Utah","115,102","114,903","113,523"
265,"Springfield city, Illinois","114,264","113,742","113,273"
266,"Elgin city, Illinois","114,604","114,031","113,177"
267,"Odessa city, Texas","114,926","112,191","112,906"
268,"Lansing city, Michigan","112,554","112,549","112,537"
269,"Pompano Beach city, Florida","111,954","111,516","112,302"
270,"Beaumont city, Texas","114,980","113,638","112,089"
271,"Temecula city, California","110,013","110,810","111,752"
272,"Gresham city, Oregon","114,466","113,154","111,621"
273,"Allen city, Texas","105,537","107,019","111,551"
274,"Pueblo city, Colorado","111,891","111,991","111,456"
275,"Everett city, Washington","110,881","110,958","111,337"
276,"South Fulton city, Georgia","108,218","109,325","111,158"
277,"Peoria city, Illinois","112,850","111,870","111,021"
278,"Nampa city, Idaho","101,303","106,525","110,951"
279,"Tuscaloosa city, Alabama","104,214","109,082","110,602"
280,"Miami Gardens city, Florida","111,481","111,648","110,497"
281,"Santa Maria city, California","109,742","109,647","110,125"
282,"Downey city, California","113,973","111,570","109,934"
283,"Concord city, North Carolina","105,967","108,029","109,896"
284,"San Buenaventura (Ventura) city, California","110,518","110,027","109,527"
285,"Costa Mesa city, California","111,797","110,885","109,521"
286,"Sugar Land city, Texas","110,822","109,584","109,414"
287,"Menifee city, California","103,158","106,365","109,399"
288,"Tyler city, Texas","106,276","107,353","109,286"
289,"Sparks city, Nevada","108,876","109,681","109,226"
290,"Greeley city, Colorado","109,264","108,631","109,209"
291,"Rio Rancho city, New Mexico","104,361","105,944","108,082"
292,"Sandy Springs city, Georgia","108,163","107,344","107,763"
293,"Dearborn city, Michigan","109,662","108,736","107,710"
294,"Jurupa Valley city, California","105,313","106,982","107,609"
295,"Spokane Valley city, Washington","103,525","105,796","107,325"
296,"Hillsboro city, Oregon","106,981","106,916","107,299"
297,"Davie town, Florida","106,024","105,872","106,513"
298,"Green Bay city, Wisconsin","107,254","106,346","106,095"
299,"Centennial city, Colorado","108,185","107,332","105,865"
300,"Buckeye city, Arizona","93,754","101,720","105,567"
301,"Boulder city, Colorado","108,112","104,001","105,485"
302,"Goodyear city, Arizona","96,912","101,524","105,406"
303,"El Monte city, California","109,111","106,918","105,312"
304,"West Covina city, California","109,129","106,868","105,013"
305,"Brockton city, Massachusetts","105,502","105,501","104,826"
306,"New Braunfels city, Texas","91,621","99,032","104,707"
307,"El Cajon city, California","106,126","105,474","104,414"
308,"Edinburg city, Texas","100,707","103,068","104,294"
309,"Renton city, Washington","106,708","105,422","104,047"
310,"Burbank city, California","107,143","105,291","103,920"
311,"Inglewood city, California","107,384","105,097","103,621"
312,"Rialto city, California","104,125","104,305","103,545"
313,"Lee's Summit city, Missouri","101,617","102,853","103,465"
314,"Bend city, Oregon","99,669","102,428","103,254"
315,"South Bend city, Indiana","103,333","103,161","103,110"
316,"Wichita Falls city, Texas","102,513","102,786","102,664"
317,"St. George city, Utah","96,032","100,180","102,519"
318,"Fishers city, Indiana","99,456","101,339","101,966"
319,"Carmel city, Indiana","99,898","100,959","101,964"
320,"Vacaville city, California","101,806","101,447","101,918"
321,"Quincy city, Massachusetts","101,462","101,142","101,727"
322,"Conroe city, Texas","91,247","95,438","101,405"
323,"Chico city, California","102,135","100,162","101,299"
324,"San Mateo city, California","105,327","102,400","100,984"
325,"Lynn city, Massachusetts","101,095","100,992","100,891"
326,"Albany city, New York","98,664","100,735","100,826"
327,"Hesperia city, California","100,090","100,847","100,744"
328,"New Bedford city, Massachusetts","100,987","101,007","100,682"
329,"Davenport city, Iowa","101,646","101,072","100,486"
330,"Daly City city, California","104,633","101,482","100,007"
331,"Fayetteville city, Arkansas","94,769","97,328","99,285"
332,"San Angelo city, Texas","100,060","99,423","99,112"
333,"Boca Raton city, Florida","98,242","98,796","99,009"
334,"Longmont city, Colorado","99,181","99,721","98,687"
335,"Norwalk city, California","102,410","100,313","98,537"
335,"Suffolk city, Virginia","94,697","96,328","98,537"
337,"Yuma city, Arizona","96,398","97,154","98,527"
338,"Kenosha city, Wisconsin","99,895","99,270","98,484"
339,"Palm Coast city, Florida","89,735","93,748","98,411"
340,"Federal Way city, Washington","100,981","99,283","97,863"
341,"Roanoke city, Virginia","99,883","98,744","97,847"
342,"Vista city, California","98,390","98,563","97,766"
343,"Tracy city, California","93,413","95,252","97,328"
344,"Deltona city, Florida","94,038","95,386","97,267"
345,"Beaverton city, Oregon","97,495","98,466","97,053"
346,"Portsmouth city, Virginia","97,954","97,638","97,029"
347,"Yakima city, Washington","97,055","96,918","97,012"
348,"Sunrise city, Florida","97,103","96,222","96,306"
349,"Edmond city, Oklahoma","94,750","95,356","96,286"
350,"Plantation city, Florida","92,050","93,188","96,042"
351,"Fort Myers city, Florida","87,271","93,290","95,949"
352,"Orem city, Utah","98,424","98,150","95,910"
353,"Lawrence city, Kansas","94,923","95,372","95,794"
354,"Reading city, Pennsylvania","94,972","94,940","94,858"
355,"San Marcos city, California","94,900","93,756","94,854"
356,"Mount Pleasant town, South Carolina","91,092","92,844","94,545"
357,"Bellingham city, Washington","91,871","90,133","93,896"
358,"Livonia city, Michigan","95,270","94,612","93,779"
359,"Asheville city, North Carolina","94,390","94,142","93,776"
360,"Fall River city, Massachusetts","93,933","93,952","93,682"
361,"O'Fallon city, Missouri","91,631","93,729","93,663"
362,"Erie city, Pennsylvania","94,704","94,160","93,511"
363,"Chino city, California","91,131","91,716","93,140"
364,"Sandy city, Utah","96,921","95,076","93,022"
365,"Roswell city, Georgia","92,939","92,627","92,950"
366,"Redding city, California","93,479","93,422","92,906"
367,"Hoover city, Alabama","92,714","92,627","92,435"
368,"Carson city, California","95,286","93,285","92,388"
369,"Kirkland city, Washington","92,734","92,129","92,151"
370,"Compton city, California","95,411","93,456","91,988"
371,"Indio city, California","89,274","90,528","91,980"
372,"Mission Viejo city, California","93,464","92,436","91,776"
373,"Avondale city, Arizona","89,564","90,502","91,617"
374,"Merced city, California","86,648","89,515","91,563"
375,"Lawton city, Oklahoma","90,365","91,242","91,542"
376,"Norwalk city, Connecticut","90,928","91,475","91,401"
377,"Nashua city, New Hampshire","91,193","91,297","91,161"
378,"South Gate city, California","92,434","91,012","90,926"
379,"Hemet city, California","89,844","90,480","90,689"
380,"Fort Smith city, Arkansas","89,147","89,557","89,992"
381,"Santa Monica city, California","92,803","91,250","89,947"
382,"Trenton city, New Jersey","90,578","90,026","89,661"
383,"Temple city, Texas","82,645","85,587","89,458"
384,"Westminster city, California","90,786","90,124","89,397"
385,"Champaign city, Illinois","88,358","89,338","89,241"
386,"Greenville city, North Carolina","87,626","88,399","89,233"
387,"Santa Fe city, New Mexico","87,724","88,302","89,008"
388,"Clifton city, New Jersey","90,054","89,516","88,709"
389,"Waukegan city, Illinois","89,115","88,679","87,976"
390,"Lawrence city, Massachusetts","88,876","88,436","87,954"
391,"Bloomington city, Minnesota","89,844","89,437","87,797"
392,"Bryan city, Texas","84,325","85,256","87,792"
393,"Springdale city, Arkansas","87,312","87,658","87,672"
394,"Santa Barbara city, California","88,676","88,316","87,533"
395,"Newton city, Massachusetts","88,759","87,799","87,381"
396,"Troy city, Michigan","87,076","87,592","87,201"
397,"Danbury city, Connecticut","86,254","87,105","86,967"
398,"Manteca city, California","83,834","85,716","86,928"
399,"Franklin city, Tennessee","84,124","85,804","86,895"
400,"Ogden city, Utah","87,292","86,639","86,825"
401,"Deerfield Beach city, Florida","86,763","86,512","86,772"
402,"San Leandro city, California","90,707","88,440","86,762"
403,"Mission city, Texas","85,848","86,177","86,635"
404,"Duluth city, Minnesota","86,718","86,584","86,619"
405,"Georgetown city, Texas","68,293","75,620","86,507"
406,"Melbourne city, Florida","85,047","86,008","86,441"
407,"Citrus Heights city, California","87,521","87,111","86,433"
408,"San Ramon city, California","86,616","87,023","85,953"
409,"Lake Forest city, California","85,848","85,631","85,638"
410,"Medford city, Oregon","85,975","86,634","85,556"
411,"Sioux City city, Iowa","85,762","85,833","85,497"
412,"North Port city, Florida","75,487","79,795","85,099"
413,"Auburn city, Washington","87,059","85,853","84,858"
414,"Kennewick city, Washington","83,981","84,698","84,750"
415,"Livermore city, California","87,880","86,388","84,701"
416,"Hawthorne city, California","87,804","86,010","84,563"
417,"Whittier city, California","87,006","85,330","84,496"
418,"Lehi city, Utah","76,837","79,917","84,373"
419,"Baytown city, Texas","85,366","84,312","84,324"
420,"Westland city, Michigan","85,196","84,678","84,037"
421,"Newport Beach city, California","85,208","84,713","83,993"
422,"South Jordan city, Utah","77,950","80,102","83,513"
423,"Brooklyn Park city, Minnesota","86,206","84,467","83,324"
424,"Folsom city, California","80,749","81,687","83,269"
425,"Warwick city, Rhode Island","82,845","83,028","83,016"
426,"Farmington Hills city, Michigan","83,774","83,368","82,737"
427,"Gastonia city, North Carolina","80,524","81,359","82,653"
428,"Layton city, Utah","82,046","83,417","82,601"
429,"Longview city, Texas","81,641","81,553","82,531"
430,"Largo city, Florida","82,484","82,437","82,487"
431,"Johns Creek city, Georgia","82,575","82,183","82,453"
432,"Buena Park city, California","83,862","82,951","82,450"
433,"Cranston city, Rhode Island","82,824","82,598","82,421"
434,"New Rochelle city, New York","80,192","81,389","82,288"
435,"Warner Robins city, Georgia","80,567","81,566","82,175"
435,"Frederick city, Maryland","78,352","79,889","82,175"
437,"Cicero town, Illinois","84,928","83,313","81,919"
438,"Homestead city, Florida","80,510","80,707","81,562"
439,"Mountain View city, California","82,430","81,675","81,059"
440,"Boynton Beach city, Florida","80,652","80,244","80,859"
441,"Rancho Cordova city, California","79,503","80,210","80,598"
442,"Redwood City city, California","84,131","81,522","80,512"
443,"Perris city, California","78,861","79,825","80,263"
444,"Alhambra city, California","82,657","81,168","80,259"
445,"Castle Rock town, Colorado","73,881","76,652","80,191"
446,"Pharr city, Texas","79,821","79,675","80,179"
447,"Miami Beach city, Florida","82,458","80,882","80,017"
448,"Auburn city, Alabama","76,624","78,887","80,006"
449,"Kissimmee city, Florida","79,202","79,579","80,003"
450,"Jonesboro city, Arkansas","78,852","78,862","79,876"
451,"Flint city, Michigan","81,108","80,586","79,854"
452,"Somerville city, Massachusetts","80,814","80,018","79,762"
453,"Parma city, Ohio","80,949","80,154","79,358"
454,"Pasco city, Washington","77,452","78,541","79,315"
455,"Lynchburg city, Virginia","78,973","79,118","79,287"
456,"Lake Charles city, Louisiana","84,873","80,521","79,113"
457,"Bloomington city, Indiana","79,062","79,342","79,107"
458,"Lakewood city, California","82,213","80,473","79,063"
459,"Bloomington city, Illinois","78,682","78,848","78,864"
460,"Upland city, California","79,120","79,265","78,841"
461,"Rapid City city, South Dakota","74,924","76,723","78,824"
462,"Plymouth city, Minnesota","80,945","79,820","78,683"
463,"Woodbury city, Minnesota","75,472","77,094","78,561"
464,"Flower Mound town, Texas","76,472","77,532","78,486"
465,"Tustin city, California","79,896","79,346","78,418"
466,"Napa city, California","79,039","78,855","78,315"
467,"Daytona Beach city, Florida","72,274","75,323","77,958"
468,"Chino Hills city, California","78,468","78,579","77,949"
469,"Loveland city, Colorado","76,362","77,002","77,884"
470,"Milpitas city, California","80,127","78,218","77,738"
471,"Cedar Park city, Texas","78,012","78,863","77,642"
472,"Bethlehem city, Pennsylvania","75,697","77,910","77,617"
473,"Pittsburg city, California","76,605","76,662","77,572"
474,"Doral city, Florida","76,207","76,167","76,983"
475,"Missoula city, Montana","74,394","75,373","76,955"
476,"Redmond city, Washington","73,348","76,463","76,732"
477,"Wyoming city, Michigan","76,755","76,853","76,726"
478,"Mansfield city, Texas","72,757","74,429","76,724"
479,"Pleasanton city, California","79,676","77,904","76,689"
480,"Hammond city, Indiana","77,759","77,204","76,575"
481,"Missouri City city, Texas","74,425","75,047","76,500"
482,"Racine city, Wisconsin","77,685","77,079","76,462"
483,"Bellflower city, California","78,975","77,411","76,405"
484,"Schaumburg village, Illinois","78,443","77,165","76,225"
485,"Broomfield city, Colorado","74,484","75,375","76,121"
486,"Alameda city, California","78,044","76,246","76,040"
487,"Rochester Hills city, Michigan","76,119","76,063","75,936"
488,"Flagstaff city, Arizona","77,090","74,729","75,907"
489,"Apple Valley town, California","75,874","76,158","75,867"
490,"Scranton city, Pennsylvania","76,172","76,141","75,848"
